JobName,OMP_THREADS,Ntasks,GridX,GridY,Iterations,Max_total_time,Max_Communication_time,Max_Computation_time,Init_time
job,14,8,12000,8000,500,8.589552,0.328383,8.521457,0.000230
job,14,32,24000,20000,500,10.770167,0.430741,10.645107,0.006828
job,14,16,16000,16000,500,11.582054,0.466321,11.377004,0.078985
job,14,128,44000,44000,500,10.834864,0.420209,10.765794,0.003165
job,14,64,32000,32000,500,11.452870,0.400456,11.338426,0.001152
job,14,128,15000,15000,500,1.263723,0.150831,1.232427,0.003392
job,14,64,15000,15000,500,2.479992,0.121731,2.444800,0.001130
job,14,32,15000,15000,500,4.975385,0.266667,4.891202,0.005713
job,14,16,15000,15000,500,9.907122,0.278298,9.824186,0.006917
job,14,8,15000,15000,500,20.110913,0.733874,19.960227,0.000190
